ville,pays,latitude,longitude,date_entiere,heure,aqi,pm2_5,pm10,no2,so2,o3,co,no,nh3
Antananarivo,MG,-18.8792,47.5079,2025-07-01,14,21,0.95,1.76,0.19,0.12,45.16,72.61,0.02,0.34
London,GB,51.5074,-0.1278,2025-07-01,14,60,16.25,20.39,12.73,8.2,56.51,127.93,6.34,0.32
New York,US,40.7128,-74.006,2025-07-01,14,24,3.68,4.35,4.28,1.66,50.26,127,0.45,0.9
Paris,FR,48.8566,2.3522,2025-07-01,14,36,8.17,28.85,0.31,0.1,76.77,82.36,0.06,1.52
Tokyo,JP,35.6895,139.6917,2025-07-01,14,39,8.91,19.33,1.88,2.22,81.66,129.89,0,0
Antananarivo,MG,-18.8792,47.5079,2025-07-01,15,20,1.09,2.02,0.3,0.14,43.21,76.87,0,0.36
London,GB,51.5074,-0.1278,2025-07-01,15,57,14.97,19.3,11.06,7.62,67.97,122.32,4.25,0.28
New York,US,40.7128,-74.006,2025-07-01,15,27,3.93,4.55,3.76,1.61,56.79,127.72,0.48,0.8
Paris,FR,48.8566,2.3522,2025-07-01,15,37,8.93,32.13,0.36,0.09,77.1,81.67,0.06,1.33
Tokyo,JP,35.6895,139.6917,2025-07-01,15,38,8.82,19.1,1.86,2.24,80.41,129.51,0,0
Antananarivo,MG,-18.8792,47.5079,2025-07-01,16,20,1.18,2.18,0.35,0.15,42.18,80.22,0,0.37
London,GB,51.5074,-0.1278,2025-07-01,16,53,13.27,17.82,10.27,7.16,77.85,116.88,2.98,0.24
New York,US,40.7128,-74.006,2025-07-01,16,32,3.63,4.13,2.61,1.31,68.39,126.61,0.33,0.6
Paris,FR,48.8566,2.3522,2025-07-01,16,39,9.34,33.2,0.81,0.1,75.36,82.18,0.14,1.62
Tokyo,JP,35.6895,139.6917,2025-07-01,16,37,8.8,18.96,1.82,2.2,79.25,129.12,0,0
Antananarivo,MG,-18.8792,47.5079,2025-07-01,17,20,1.25,2.3,0.4,0.16,42.28,85.15,0,0.38
London,GB,51.5074,-0.1278,2025-07-01,17,48,11.44,16.25,10.47,6.78,79.37,112.99,2.41,0.21
New York,US,40.7128,-74.006,2025-07-01,17,36,3.62,4.1,1.87,1.1,75.22,125.09,0.22,0.52
Paris,FR,48.8566,2.3522,2025-07-01,17,40,9.58,33.09,1.48,0.12,71.69,82.87,0.23,2.33
Tokyo,JP,35.6895,139.6917,2025-07-01,17,37,8.82,18.96,1.82,2.18,78.08,128.97,0,0
Antananarivo,MG,-18.8792,47.5079,2025-07-01,18,20,1.26,2.31,0.42,0.16,42.82,88.6,0,0.36
London,GB,51.5074,-0.1278,2025-07-01,18,41,9.93,14.65,11.52,6.53,76.43,111.19,1.95,0.22
New York,US,40.7128,-74.006,2025-07-01,18,38,4.07,4.6,1.56,1.03,80.7,125.65,0.17,0.53
Paris,FR,48.8566,2.3522,2025-07-01,18,41,9.79,33.34,1.96,0.14,68.88,83.65,0.21,3.03
Tokyo,JP,35.6895,139.6917,2025-07-01,18,37,8.8,18.95,1.83,2.19,76.85,128.65,0,0
