ville,pays,latitude,longitude,date_entiere,heure,aqi,pm2_5,pm10,no2,so2,o3,co,no,nh3
Antananarivo,MG,-18.8792,47.5079,2026-02-03,20,14,3.33,6.36,1.39,0.26,9.98,145.36,0.01,1.32
London,GB,51.5074,-0.1278,2026-02-03,20,30,0.57,1,5.49,2.45,64.24,143.66,0,0.56
New York,US,40.7128,-74.006,2026-02-03,20,59,16.08,18.52,15.59,8.61,74.89,245.8,3.78,0.14
Paris,FR,48.8566,2.3522,2026-02-03,20,27,1.53,2.04,3.8,0.35,57.82,165.21,0,0.36
Tokyo,JP,35.6895,139.6917,2026-02-03,20,43,1.91,3.26,4.73,3.71,90.69,152.8,0,0.29
Antananarivo,MG,-18.8792,47.5079,2026-02-03,21,13,3.2,5.67,1.39,0.21,8.14,147.11,0.01,1.24
London,GB,51.5074,-0.1278,2026-02-03,21,29,0.73,1.29,6.45,2.79,61.99,145.92,0,0.7
New York,US,40.7128,-74.006,2026-02-03,21,58,15.64,17.96,16.99,7.28,73.98,242.71,1.9,0.16
Paris,FR,48.8566,2.3522,2026-02-03,21,26,1.86,2.44,4.14,0.36,54.06,171.19,0,0.37
Tokyo,JP,35.6895,139.6917,2026-02-03,21,43,1.7,3.06,4.58,3.59,91.48,152.05,0,0.29
Antananarivo,MG,-18.8792,47.5079,2026-02-03,22,13,3.17,5.29,1.31,0.17,6.7,146.23,0.01,1.1
London,GB,51.5074,-0.1278,2026-02-03,22,29,0.93,1.68,6.85,2.96,60.61,148.57,0,0.83
New York,US,40.7128,-74.006,2026-02-03,22,59,16.02,18.48,21.25,6.15,67.19,256.56,0.46,0.34
Paris,FR,48.8566,2.3522,2026-02-03,22,24,2.16,2.82,4.41,0.34,50.28,174.61,0,0.38
Tokyo,JP,35.6895,139.6917,2026-02-03,22,44,1.39,2.79,4.55,3.55,92.73,151.81,0,0.29
Antananarivo,MG,-18.8792,47.5079,2026-02-03,23,14,3.29,5.32,1.23,0.14,5.79,145.94,0.02,0.95
London,GB,51.5074,-0.1278,2026-02-03,23,28,1.17,2.14,7.08,3.09,59.71,151.62,0,0.9
New York,US,40.7128,-74.006,2026-02-03,23,62,17.39,20.29,26.78,5.5,56.51,287.33,0.02,0.66
Paris,FR,48.8566,2.3522,2026-02-03,23,22,2.35,3.07,4.44,0.26,47.52,176.02,0,0.38
Tokyo,JP,35.6895,139.6917,2026-02-03,23,45,1.17,2.59,5.98,3.55,94.42,152.4,0.15,0.3
Antananarivo,MG,-18.8792,47.5079,2026-02-04,0,14,3.39,5.4,1.15,0.12,5.4,145.14,0.02,0.76
London,GB,51.5074,-0.1278,2026-02-04,0,28,1.44,2.6,7.35,3.21,58.42,154.85,0,0.9
New York,US,40.7128,-74.006,2026-02-04,0,66,19.09,22.64,31.01,5.18,48.69,316.54,0.02,0.92
Paris,FR,48.8566,2.3522,2026-02-04,0,22,2.43,3.15,4.18,0.2,45.79,175.96,0,0.38
Tokyo,JP,35.6895,139.6917,2026-02-04,0,46,1.05,2.45,5.99,3.49,96.57,152.92,0.62,0.3
Antananarivo,MG,-18.8792,47.5079,2026-02-04,1,14,3.33,5.3,1.05,0.1,5.81,141.16,0.02,0.62
London,GB,51.5074,-0.1278,2026-02-04,1,27,1.76,3.05,7.6,3.32,56.35,157.5,0,0.87
New York,US,40.7128,-74.006,2026-02-04,1,69,20.62,24.86,34.01,4.87,42.02,339.03,0.03,1.14
Paris,FR,48.8566,2.3522,2026-02-04,1,21,2.4,3.1,3.79,0.17,44.55,174.43,0,0.38
Tokyo,JP,35.6895,139.6917,2026-02-04,1,47,1.09,2.45,5.23,3.28,99.56,152.23,0.88,0.27
Antananarivo,MG,-18.8792,47.5079,2026-02-04,2,14,3.4,5.17,0.99,0.09,5.37,140.14,0.02,0.54
London,GB,51.5074,-0.1278,2026-02-04,2,25,2.05,3.45,7.8,3.44,53.68,159.91,0,0.84
New York,US,40.7128,-74.006,2026-02-04,2,72,22.29,27.24,36.38,4.68,36.4,360.55,0.04,1.32
Paris,FR,48.8566,2.3522,2026-02-04,2,21,2.29,2.95,3.38,0.15,44.66,172.54,0,0.37
Tokyo,JP,35.6895,139.6917,2026-02-04,2,48,1.32,2.7,4.87,3.26,101.09,151.97,1.01,0.25
Antananarivo,MG,-18.8792,47.5079,2026-02-04,3,2,0,0,0.98,0.09,4.97,141.79,0.03,0.53
London,GB,51.5074,-0.1278,2026-02-04,3,24,0,0,7.83,3.48,51.29,161.59,0,0.78
New York,US,40.7128,-74.006,2026-02-04,3,19,0,0,38.67,4.8,31.98,380.48,0.05,1.5
Paris,FR,48.8566,2.3522,2026-02-04,3,22,0,0,2.98,0.15,46.08,170.83,0,0.36
Tokyo,JP,35.6895,139.6917,2026-02-04,3,49,0,0,4.65,3.3,103.02,151.52,1.06,0.23
Antananarivo,MG,-18.8792,47.5079,2026-02-04,4,16,3.92,6.32,0.84,0.13,5.18,149.41,0.2,0.56
London,GB,51.5074,-0.1278,2026-02-04,4,24,2.1,3.51,7.69,3.41,50.23,163.25,0,0.67
New York,US,40.7128,-74.006,2026-02-04,4,80,25.72,31.41,40.2,5.23,29.21,394.26,0.06,1.57
Paris,FR,48.8566,2.3522,2026-02-04,4,23,1.86,2.44,2.79,0.15,48.08,170.42,0,0.36
Tokyo,JP,35.6895,139.6917,2026-02-04,4,50,2.19,3.57,4.71,3.36,105.58,151.56,1.05,0.23
Antananarivo,MG,-18.8792,47.5079,2026-02-04,5,18,4.39,7.87,0.71,0.16,7.68,157.75,0.34,0.56
London,GB,51.5074,-0.1278,2026-02-04,5,24,1.89,3.24,7.58,3.41,50.34,164.69,0,0.56
New York,US,40.7128,-74.006,2026-02-04,5,81,26.57,31.98,39.17,5.7,28.59,394.04,0.04,1.36
Paris,FR,48.8566,2.3522,2026-02-04,5,23,1.74,2.31,2.97,0.19,49.06,171.48,0,0.36
Tokyo,JP,35.6895,139.6917,2026-02-04,5,11,2.6,4,4.93,3.42,107.15,150.97,0.97,0.22
Antananarivo,MG,-18.8792,47.5079,2026-02-04,6,20,4.9,8.74,0.59,0.17,12.59,159.26,0.26,0.65
London,GB,51.5074,-0.1278,2026-02-04,6,24,1.75,3.01,7.39,3.41,51.08,166.14,0,0.48
New York,US,40.7128,-74.006,2026-02-04,6,83,27.19,32.22,36.41,6.03,29.49,386.36,0.03,1.01
Paris,FR,48.8566,2.3522,2026-02-04,6,23,1.82,2.43,3.71,0.28,49.25,175.68,0,0.36
Tokyo,JP,35.6895,139.6917,2026-02-04,6,51,2.87,4.34,5.26,3.49,107.92,150.19,0.8,0.22
Antananarivo,MG,-18.8792,47.5079,2026-02-04,7,10,1.19,2.31,0.17,0.18,21.03,88.52,0.05,0.34
London,GB,51.5074,-0.1278,2026-02-04,7,25,1.67,2.85,6.94,3.27,52.19,166.89,0,0.43
New York,US,40.7128,-74.006,2026-02-04,7,83,27.54,32.23,32.78,6.12,31.09,375.04,0.02,0.67
Paris,FR,48.8566,2.3522,2026-02-04,7,23,1.99,2.69,4.58,0.36,49.18,180.05,0,0.38
Tokyo,JP,35.6895,139.6917,2026-02-04,7,52,3.05,4.61,5.84,3.58,108.52,150.45,0.54,0.21
Antananarivo,MG,-18.8792,47.5079,2026-02-04,8,10,0.88,1.68,0.12,0.17,21.36,79.13,0.04,0.28
London,GB,51.5074,-0.1278,2026-02-04,8,25,1.68,2.87,6.58,3.02,52.52,168.42,0,0.43
New York,US,40.7128,-74.006,2026-02-04,8,84,27.59,32,29.51,6.06,32.46,364.79,0.01,0.45
Paris,FR,48.8566,2.3522,2026-02-04,8,23,2.15,2.96,4.89,0.41,48.89,181.42,0.01,0.39
Tokyo,JP,35.6895,139.6917,2026-02-04,8,13,3.18,4.83,6.55,3.63,107.78,150.52,0.15,0.21
Antananarivo,MG,-18.8792,47.5079,2026-02-04,9,10,0.92,1.67,0.1,0.17,21.41,77.56,0.03,0.29
London,GB,51.5074,-0.1278,2026-02-04,9,25,1.86,3.2,6.78,2.83,51.95,170.87,0.16,0.46
New York,US,40.7128,-74.006,2026-02-04,9,83,27.45,31.6,27.29,5.69,33.72,358.08,0.01,0.35
Paris,FR,48.8566,2.3522,2026-02-04,9,24,2.25,3.15,4.44,0.44,50.14,180.77,0.28,0.4
Tokyo,JP,35.6895,139.6917,2026-02-04,9,14,3.34,5.09,6.19,3.68,106.96,150.71,0,0.2
Antananarivo,MG,-18.8792,47.5079,2026-02-04,10,10,0,0,0.12,0.17,21.37,78.53,0.03,0.32
London,GB,51.5074,-0.1278,2026-02-04,10,24,0,0,6.79,2.75,51.39,175.1,0.62,0.5
New York,US,40.7128,-74.006,2026-02-04,10,16,0,0,27.46,5.11,33.77,360.95,0.01,0.36
Paris,FR,48.8566,2.3522,2026-02-04,10,26,0,0,3.3,0.42,55.18,176.43,0.57,0.43
Tokyo,JP,35.6895,139.6917,2026-02-04,10,3,0,0,5.71,3.84,106.17,152.15,0,0.19
Antananarivo,MG,-18.8792,47.5079,2026-02-04,11,10,1.19,2.03,0.15,0.18,20.61,80.03,0.03,0.35
London,GB,51.5074,-0.1278,2026-02-04,11,24,3.19,5.13,7.17,2.85,50.98,186.62,1.27,0.52
New York,US,40.7128,-74.006,2026-02-04,11,87,29.21,33.17,30.71,4.68,30.28,382.84,0.03,0.49
Paris,FR,48.8566,2.3522,2026-02-04,11,28,1.52,2.12,2.62,0.4,59.06,170.45,0.65,0.52
Tokyo,JP,35.6895,139.6917,2026-02-04,11,49,3.77,5.61,5.81,4.15,104.59,153.59,0,0.19
Antananarivo,MG,-18.8792,47.5079,2026-02-04,12,9,1.29,2.17,0.19,0.19,19.63,81.34,0.03,0.35
London,GB,51.5074,-0.1278,2026-02-04,12,24,5.08,7.61,8.72,3.01,50.26,208.06,2,0.51
New York,US,40.7128,-74.006,2026-02-04,12,93,31.98,36.4,37.52,4.48,24.64,422.47,0.15,0.82
Paris,FR,48.8566,2.3522,2026-02-04,12,29,1.28,1.74,2.24,0.38,62.11,164.54,0.58,0.62
Tokyo,JP,35.6895,139.6917,2026-02-04,12,48,3.94,5.79,6.3,4.52,102.07,155.91,0,0.19
Antananarivo,MG,-18.8792,47.5079,2026-02-04,13,9,1.31,2.18,0.24,0.18,18.4,81.41,0.02,0.36
London,GB,51.5074,-0.1278,2026-02-04,13,29,6.95,9.91,10.68,3.08,49.26,231.17,2.5,0.5
New York,US,40.7128,-74.006,2026-02-04,13,99,34.98,39.99,46.55,4.63,18.87,475.76,1.27,1.31
Paris,FR,48.8566,2.3522,2026-02-04,13,33,0.79,1.11,1.88,0.28,69.34,156.61,0.13,0.52
Tokyo,JP,35.6895,139.6917,2026-02-04,13,47,4.25,6.19,6.75,4.82,99.46,157.88,0,0.17
Antananarivo,MG,-18.8792,47.5079,2026-02-04,14,8,1.33,2.22,0.29,0.18,17.41,82.23,0.03,0.35
London,GB,51.5074,-0.1278,2026-02-04,14,33,7.89,10.98,12.06,2.96,48.32,245.28,2.55,0.49
New York,US,40.7128,-74.006,2026-02-04,14,104,36.56,41.9,45.35,5.42,25.76,518.97,9.04,1.8
Paris,FR,48.8566,2.3522,2026-02-04,14,34,0.53,0.63,1.65,0.21,70.96,152.35,0.07,0.48
Tokyo,JP,35.6895,139.6917,2026-02-04,14,45,4.6,6.81,7.68,5.34,95.6,161.25,0,0.16
Antananarivo,MG,-18.8792,47.5079,2026-02-04,15,8,1.35,2.33,0.36,0.18,16.63,83.62,0.02,0.35
London,GB,51.5074,-0.1278,2026-02-04,15,33,7.94,11.04,12.93,2.74,48.04,243.61,1.91,0.49
New York,US,40.7128,-74.006,2026-02-04,15,103,36.48,41.77,36.26,6.6,37.04,529.12,17.64,2.04
Paris,FR,48.8566,2.3522,2026-02-04,15,33,0.5,0.55,1.7,0.18,70.9,152.04,0.04,0.49
Tokyo,JP,35.6895,139.6917,2026-02-04,15,43,4.83,7.31,8.81,5.97,91.01,165.19,0,0.17
Antananarivo,MG,-18.8792,47.5079,2026-02-04,16,7,1.69,3.38,0.61,0.18,13.79,92.95,0.01,0.43
London,GB,51.5074,-0.1278,2026-02-04,16,32,7.7,10.9,14.11,2.57,47.89,238.66,0.55,0.55
New York,US,40.7128,-74.006,2026-02-04,16,72,21.97,24.98,19.89,8.39,56.94,351.43,10.71,0.73
Paris,FR,48.8566,2.3522,2026-02-04,16,33,0.5,0.58,2.1,0.21,70.35,155.57,0.02,0.58
Tokyo,JP,35.6895,139.6917,2026-02-04,16,41,5.1,7.78,10.01,6.57,85.84,169.56,0,0.18
Antananarivo,MG,-18.8792,47.5079,2026-02-04,17,10,2.42,5.22,0.91,0.19,10.3,110.9,0.02,0.55
London,GB,51.5074,-0.1278,2026-02-04,17,31,7.38,10.61,13.86,2.49,48.17,239.21,0.06,0.67
New York,US,40.7128,-74.006,2026-02-04,17,63,17.94,20.27,14.83,5.97,62.68,304.05,8.45,0.4
Paris,FR,48.8566,2.3522,2026-02-04,17,32,0.55,0.67,2.69,0.26,68.55,159.4,0,0.75
Tokyo,JP,35.6895,139.6917,2026-02-04,17,39,5.38,8.15,10.91,6.97,81.81,172.82,0,0.18
Antananarivo,MG,-18.8792,47.5079,2026-02-04,18,13,3.12,6.39,1.09,0.2,7.88,126.83,0.02,0.64
London,GB,51.5074,-0.1278,2026-02-04,18,27,6.51,9.45,12.1,2.38,50.71,234.84,0,0.78
New York,US,40.7128,-74.006,2026-02-04,18,62,17.47,19.59,13.28,4.84,66.82,285.67,7.25,0.25
Paris,FR,48.8566,2.3522,2026-02-04,18,32,0.61,0.87,2.92,0.31,67.35,162.18,0,0.86
Tokyo,JP,35.6895,139.6917,2026-02-04,18,38,5.53,8.25,11.09,7.11,79.9,174.02,0,0.17
Antananarivo,MG,-18.8792,47.5079,2026-02-04,19,15,3.57,6.87,1.2,0.19,6.16,139.54,0.03,0.69
London,GB,51.5074,-0.1278,2026-02-04,19,27,4.73,7.02,9.27,2.14,57.85,218.1,0,0.83
New York,US,40.7128,-74.006,2026-02-04,19,63,17.58,19.64,12.95,4.23,70.58,275.91,6.23,0.18
Paris,FR,48.8566,2.3522,2026-02-04,19,31,0.68,1.01,2.84,0.33,65.66,161.87,0,0.83
Tokyo,JP,35.6895,139.6917,2026-02-04,19,37,5.64,8.22,11.14,7.2,79.22,174.45,0,0.16
Antananarivo,MG,-18.8792,47.5079,2026-02-04,20,15,3.67,6.65,1.24,0.16,5.1,146.59,0.04,0.63
London,GB,51.5074,-0.1278,2026-02-04,20,30,3.41,5.28,7.2,1.94,63.83,202.46,0,0.75
New York,US,40.7128,-74.006,2026-02-04,20,64,18.15,20.26,13.99,4.11,71.85,273.15,5.38,0.18
Paris,FR,48.8566,2.3522,2026-02-04,20,31,0.73,1.05,2.6,0.31,65.27,161.34,0,0.72
Tokyo,JP,35.6895,139.6917,2026-02-04,20,38,5.57,8,10.56,7.05,79.69,173.67,0,0.14
Antananarivo,MG,-18.8792,47.5079,2026-02-04,21,14,3.38,5.67,1.19,0.12,4.54,144.03,0.03,0.54
London,GB,51.5074,-0.1278,2026-02-04,21,31,3.06,4.89,6.53,1.9,65.47,199.02,0,0.69
New York,US,40.7128,-74.006,2026-02-04,21,64,18.33,20.55,16.75,4.27,69.76,273.52,4.1,0.21
Paris,FR,48.8566,2.3522,2026-02-04,21,31,0.75,1.04,2.29,0.27,65.51,160.09,0,0.56
Tokyo,JP,35.6895,139.6917,2026-02-04,21,38,5.44,7.75,9.76,6.8,80,172.71,0,0.13
Antananarivo,MG,-18.8792,47.5079,2026-02-04,22,13,3.15,4.91,1.08,0.1,4.34,138.43,0.03,0.47
London,GB,51.5074,-0.1278,2026-02-04,22,30,3.81,5.79,7.02,1.99,63.59,205.72,0,0.63
New York,US,40.7128,-74.006,2026-02-04,22,64,18.24,20.63,23.94,4.42,61.66,282.03,1.16,0.37
Paris,FR,48.8566,2.3522,2026-02-04,22,31,0.67,0.88,1.85,0.19,66.63,156.02,0,0.36
Tokyo,JP,35.6895,139.6917,2026-02-04,22,38,5.39,7.68,9.46,6.77,79.91,173.06,0,0.13
Antananarivo,MG,-18.8792,47.5079,2026-02-04,23,13,3.06,4.49,0.99,0.08,4.15,134.2,0.03,0.37
London,GB,51.5074,-0.1278,2026-02-04,23,29,5.04,7,8.08,2.05,60.52,220.74,0,0.57
New York,US,40.7128,-74.006,2026-02-04,23,65,18.82,21.54,30.42,4.68,53.3,305.32,0.02,0.68
Paris,FR,48.8566,2.3522,2026-02-04,23,31,0.64,0.82,1.7,0.14,66.33,154.22,0,0.28
Tokyo,JP,35.6895,139.6917,2026-02-04,23,38,5.4,7.73,11.18,6.89,80.1,174.06,0.15,0.13
Antananarivo,MG,-18.8792,47.5079,2026-02-05,0,12,2.85,3.92,0.89,0.06,4.27,127.78,0.02,0.29
London,GB,51.5074,-0.1278,2026-02-05,0,27,5.57,7.27,8.91,1.95,57.92,236.3,0,0.54
New York,US,40.7128,-74.006,2026-02-05,0,67,19.8,22.93,35.74,5.03,46.3,333.78,0.01,1.02
Paris,FR,48.8566,2.3522,2026-02-05,0,31,0.67,0.84,1.62,0.12,65.71,153.68,0,0.25
Tokyo,JP,35.6895,139.6917,2026-02-05,0,38,5.43,7.81,11.53,6.89,80.87,175.74,0.64,0.14
Antananarivo,MG,-18.8792,47.5079,2026-02-05,1,10,2.48,3.34,0.79,0.06,4.45,119.29,0.02,0.26
London,GB,51.5074,-0.1278,2026-02-05,1,27,4.16,5.15,8.4,1.68,57.15,236.51,0,0.46
New York,US,40.7128,-74.006,2026-02-05,1,69,20.8,24.34,41.85,4.93,36.78,365.51,0.02,1.46
Paris,FR,48.8566,2.3522,2026-02-05,1,31,0.71,0.89,1.57,0.11,65.08,153.31,0,0.24
Tokyo,JP,35.6895,139.6917,2026-02-05,1,39,5.23,7.61,10.32,6.49,83.05,174.44,0.81,0.15
Antananarivo,MG,-18.8792,47.5079,2026-02-05,2,9,2.17,3.05,0.75,0.06,4.14,114.99,0.02,0.28
London,GB,51.5074,-0.1278,2026-02-05,2,26,3.25,3.87,7.8,1.41,56.08,229.57,0,0.32
New York,US,40.7128,-74.006,2026-02-05,2,72,22.3,26.35,50.6,4.57,26.49,410.62,0.05,2.04
Paris,FR,48.8566,2.3522,2026-02-05,2,31,0.68,0.87,1.48,0.09,64.68,152.19,0,0.21
Tokyo,JP,35.6895,139.6917,2026-02-05,2,41,5.02,7.25,8.34,5.75,86.93,170.78,0.93,0.14
Antananarivo,MG,-18.8792,47.5079,2026-02-05,3,8,2.02,3,0.74,0.06,3.86,113.68,0.03,0.31
London,GB,51.5074,-0.1278,2026-02-05,3,26,2.48,3.01,6.61,1.24,56.03,212.49,0,0.2
New York,US,40.7128,-74.006,2026-02-05,3,75,23.36,27.81,58.85,4.21,17.78,452.9,0.1,2.61
Paris,FR,48.8566,2.3522,2026-02-05,3,30,0.61,0.78,1.39,0.08,64.21,150.18,0,0.2
Tokyo,JP,35.6895,139.6917,2026-02-05,3,43,5.23,7.32,6.65,5.06,90.89,167.39,0.98,0.1
Antananarivo,MG,-18.8792,47.5079,2026-02-05,4,8,2,3.53,0.65,0.1,4.02,114.63,0.12,0.38
London,GB,51.5074,-0.1278,2026-02-05,4,27,1.75,2.23,5.41,1.18,56.64,191.81,0,0.13
New York,US,40.7128,-74.006,2026-02-05,4,74,23.06,27.49,63.02,3.97,12.75,473.53,0.15,2.92
Paris,FR,48.8566,2.3522,2026-02-05,4,30,0.55,0.68,1.29,0.07,64.1,147.75,0,0.18
Tokyo,JP,35.6895,139.6917,2026-02-05,4,46,5.81,7.85,4.96,4.23,98.3,162.47,0.91,0.04
Antananarivo,MG,-18.8792,47.5079,2026-02-05,5,9,2.17,4.46,0.48,0.13,5.58,116.8,0.28,0.45
London,GB,51.5074,-0.1278,2026-02-05,5,27,1.14,1.57,4.53,1.23,57.53,172.09,0,0.12
New York,US,40.7128,-74.006,2026-02-05,5,69,20.89,24.74,60.78,3.91,11.88,462.16,0.11,2.89
Paris,FR,48.8566,2.3522,2026-02-05,5,30,0.53,0.64,1.23,0.07,64.04,145.09,0,0.19
Tokyo,JP,35.6895,139.6917,2026-02-05,5,48,6.38,8.51,5.22,4.05,101.14,160.53,0.81,0.03
Antananarivo,MG,-18.8792,47.5079,2026-02-05,6,10,2.45,5.13,0.42,0.16,9.71,117.4,0.23,0.61
London,GB,51.5074,-0.1278,2026-02-05,6,28,0.8,1.2,4.08,1.33,59.76,158.55,0,0.14
New York,US,40.7128,-74.006,2026-02-05,6,62,17.3,20.41,52.83,3.98,14.83,425.21,0.04,2.61
Paris,FR,48.8566,2.3522,2026-02-05,6,30,0.54,0.69,1.4,0.1,63.68,144.06,0,0.2
Tokyo,JP,35.6895,139.6917,2026-02-05,6,48,6.81,9.07,6.03,4.12,102.17,159.02,0.65,0.02
Antananarivo,MG,-18.8792,47.5079,2026-02-05,7,9,0.92,1.96,0.16,0.17,18.01,76.1,0.06,0.34
London,GB,51.5074,-0.1278,2026-02-05,7,30,0.68,1.09,3.82,1.42,64.36,148.72,0,0.2
New York,US,40.7128,-74.006,2026-02-05,7,46,10.96,13.23,34.4,4.35,26.56,335.02,0.01,1.88
Paris,FR,48.8566,2.3522,2026-02-05,7,30,0.61,0.78,1.72,0.14,62.84,143.92,0,0.21
Tokyo,JP,35.6895,139.6917,2026-02-05,7,48,7.03,9.43,7.08,4.26,102.31,157.68,0.38,0.03
Antananarivo,MG,-18.8792,47.5079,2026-02-05,8,9,0.72,1.43,0.11,0.15,20.01,68.19,0.04,0.28
London,GB,51.5074,-0.1278,2026-02-05,8,33,0.71,1.21,3.84,1.59,69.1,142.22,0,0.28
New York,US,40.7128,-74.006,2026-02-05,8,37,8.79,10.67,26.32,4.09,32.51,297.37,0,1.47
Paris,FR,48.8566,2.3522,2026-02-05,8,29,0.65,0.84,1.96,0.17,61.31,143.59,0,0.23
Tokyo,JP,35.6895,139.6917,2026-02-05,8,48,7.16,9.68,8.24,4.48,101.04,157.38,0.08,0.04
Antananarivo,MG,-18.8792,47.5079,2026-02-05,9,10,0.72,1.34,0.09,0.15,20.72,66.59,0.03,0.27
London,GB,51.5074,-0.1278,2026-02-05,9,35,0.81,1.4,4.12,1.77,73.06,138.26,0.01,0.36
New York,US,40.7128,-74.006,2026-02-05,9,32,7.67,9.3,21.41,3.96,36.85,273.6,0,1.18
Paris,FR,48.8566,2.3522,2026-02-05,9,28,0.66,0.86,2.07,0.19,60.09,143.08,0.01,0.26
Tokyo,JP,35.6895,139.6917,2026-02-05,9,47,7.43,10.13,8.47,4.78,98.63,158.43,0,0.05
Antananarivo,MG,-18.8792,47.5079,2026-02-05,10,11,0.67,1.13,0.09,0.12,22.8,66.13,0.03,0.25
London,GB,51.5074,-0.1278,2026-02-05,10,36,0.94,1.69,4.48,1.97,76.25,136.46,0.06,0.44
New York,US,40.7128,-74.006,2026-02-05,10,29,6.93,8.4,18.21,3.93,39.69,254.27,0,0.96
Paris,FR,48.8566,2.3522,2026-02-05,10,28,0.63,0.87,2.01,0.2,59.84,141.52,0.07,0.33
Tokyo,JP,35.6895,139.6917,2026-02-05,10,45,7.9,10.81,8.18,5.07,95.99,160.48,0,0.06
Antananarivo,MG,-18.8792,47.5079,2026-02-05,11,12,0.59,0.93,0.09,0.1,25.39,64.54,0.02,0.22
London,GB,51.5074,-0.1278,2026-02-05,11,37,1.09,1.98,4.79,2.19,78.26,136.1,0.12,0.52
New York,US,40.7128,-74.006,2026-02-05,11,27,6.53,7.92,16.69,4.05,41.63,242.88,0,0.83
Paris,FR,48.8566,2.3522,2026-02-05,11,29,0.58,0.85,1.86,0.2,60.53,139.1,0.11,0.42
Tokyo,JP,35.6895,139.6917,2026-02-05,11,44,8.3,11.37,7.61,5.2,94.14,161.37,0,0.05
Antananarivo,MG,-18.8792,47.5079,2026-02-05,12,13,0.52,0.81,0.1,0.09,26.84,63.31,0.02,0.21
London,GB,51.5074,-0.1278,2026-02-05,12,37,1.19,2.08,5.02,2.33,79.19,136.36,0.17,0.53
New York,US,40.7128,-74.006,2026-02-05,12,27,6.52,7.98,17.06,4.27,41.75,240.73,0.01,0.82
Paris,FR,48.8566,2.3522,2026-02-05,12,29,0.54,0.79,1.67,0.19,62.4,135.79,0.13,0.52
Tokyo,JP,35.6895,139.6917,2026-02-05,12,44,8.49,11.75,7.34,5.24,93.07,161.75,0,0.04
Antananarivo,MG,-18.8792,47.5079,2026-02-05,13,13,0.52,0.83,0.12,0.08,27.12,63.09,0.02,0.23
London,GB,51.5074,-0.1278,2026-02-05,13,37,1.19,1.83,5.46,2.31,78.78,137.04,0.14,0.43
New York,US,40.7128,-74.006,2026-02-05,13,28,6.69,8.3,18.63,4.48,40.31,244.6,0.45,0.9
Paris,FR,48.8566,2.3522,2026-02-05,13,31,0.54,0.75,1.59,0.19,65.62,134.24,0.11,0.57
Tokyo,JP,35.6895,139.6917,2026-02-05,13,44,8.33,11.64,7.22,5.14,92.77,160.62,0,0.03
Antananarivo,MG,-18.8792,47.5079,2026-02-05,14,13,0.57,1.05,0.15,0.08,26.5,63.78,0.03,0.28
London,GB,51.5074,-0.1278,2026-02-05,14,36,1.12,1.52,6.09,2.25,76.33,137.5,0.14,0.3
New York,US,40.7128,-74.006,2026-02-05,14,30,7.14,8.98,17.44,4.76,43.76,254.02,4.16,1.02
Paris,FR,48.8566,2.3522,2026-02-05,14,32,0.56,0.77,1.65,0.19,67.29,132.83,0.08,0.57
Tokyo,JP,35.6895,139.6917,2026-02-05,14,44,8,11.23,7.41,5.13,92.13,159.15,0,0.05
Antananarivo,MG,-18.8792,47.5079,2026-02-05,15,12,0.67,1.35,0.2,0.09,25.68,65.12,0.02,0.32
London,GB,51.5074,-0.1278,2026-02-05,15,35,1.05,1.33,6.68,2.28,73.41,136.97,0.1,0.21
New York,US,40.7128,-74.006,2026-02-05,15,33,7.91,9.98,15.37,5.1,48.04,262.74,7.78,1.09
Paris,FR,48.8566,2.3522,2026-02-05,15,32,0.57,0.81,1.79,0.19,67.74,132.31,0.05,0.58
Tokyo,JP,35.6895,139.6917,2026-02-05,15,43,7.57,10.63,7.47,5.09,90.93,158.17,0,0.06
Antananarivo,MG,-18.8792,47.5079,2026-02-05,16,11,0.86,1.83,0.31,0.11,23.29,68.37,0,0.4
London,GB,51.5074,-0.1278,2026-02-05,16,34,1,1.22,6.96,2.24,70.92,136.03,0.05,0.16
New York,US,40.7128,-74.006,2026-02-05,16,38,9.05,11.26,14.61,5.46,53.23,267.47,9.46,0.99
Paris,FR,48.8566,2.3522,2026-02-05,16,32,0.63,0.91,2.2,0.21,67.29,134.25,0.03,0.56
Tokyo,JP,35.6895,139.6917,2026-02-05,16,42,7.35,10.34,7.81,5.18,88.56,159.37,0,0.06
Antananarivo,MG,-18.8792,47.5079,2026-02-05,17,10,1.09,2.42,0.41,0.13,20.66,74.54,0,0.46
London,GB,51.5074,-0.1278,2026-02-05,17,32,0.95,1.15,6.47,2.03,68.29,134.68,0.01,0.12
New York,US,40.7128,-74.006,2026-02-05,17,47,11.24,13.57,14.83,5.72,56.77,274.98,10.09,0.8
Paris,FR,48.8566,2.3522,2026-02-05,17,31,0.81,1.11,2.92,0.25,64.94,138.85,0,0.48
Tokyo,JP,35.6895,139.6917,2026-02-05,17,40,7.47,10.58,8.72,5.49,84.63,163.31,0,0.05
Antananarivo,MG,-18.8792,47.5079,2026-02-05,18,9,1.24,2.78,0.47,0.13,18.66,79.38,0,0.38
London,GB,51.5074,-0.1278,2026-02-05,18,31,0.85,1.04,5.5,1.71,65.19,134.14,0,0.09
New York,US,40.7128,-74.006,2026-02-05,18,54,13.66,16,15.53,5.86,60.93,280.03,9.77,0.5
Paris,FR,48.8566,2.3522,2026-02-05,18,29,1.05,1.35,3.51,0.29,62.41,145.09,0,0.4
